brand;processor_brand;ram_gb;ram_type;os;os_bit;graphic_card_gb;weight;display_size;warranty;Touchscreen;msoffice;price
Lenovo;Intel;16;DDR4;Windows;64;2;Casual;15.6;1;No;Yes;70990
Lenovo;Intel;4;DDR4;Windows;64;0;ThinNlight;14;0;No;No;36490
ASUS;Intel;4;DDR4;Windows;64;0;Casual;15.6;1;No;No;25990
HP;Intel;8;DDR4;Missing;64;0;Casual;14;1;No;No;65390
ASUS;Intel;4;DDR4;Windows;64;0;Casual;15.6;1;No;No;25990
Infinix;Intel;8;LPDDR4X;Windows;64;0;ThinNlight;14;0;No;No;42490
HP;Intel;16;DDR4;Windows;64;6;Casual;15.6;1;No;Yes;144690
Lenovo;Intel;8;DDR4;Windows;32;0;Casual;15.6;0;No;No;38990
DELL;Intel;8;DDR4;Windows;64;2;Casual;15.6;1;No;No;69900
Lenovo;Intel;8;DDR4;Windows;64;0;ThinNlight;15.6;2;No;Yes;42990
Lenovo;Intel;8;DDR4;Windows;64;2;Casual;15.6;1;No;Yes;65990
ASUS;Intel;4;DDR4;Windows;64;0;ThinNlight;15.6;1;No;No;34990
ASUS;AMD;8;DDR4;Windows;32;0;ThinNlight;15.6;1;No;Yes;49890
MSI;Intel;;;Missing;32;6;Casual;0;0;No;No;291190
ASUS;Intel;16;DDR4;Windows;64;0;Casual;17.3;1;Yes;Yes;58990
